A-levels scores,Education,Current Employment,Current Employment Sector,Current Annual Income,References Submitted,Was Hired by a Company within 6 months
65,law,contractual,arts,71971,1,0
41,business,unemployed,unemployed,0,1,0
56,business,salaried,transportation,129759,0,0
80,law,unemployed,unemployed,69627,0,0
55,law,unemployed,unemployed,0,0,0
51,business,unemployed,unemployed,0,0,0
88,arts,contractual,law,137607,1,1
53,law,unemployed,unemployed,0,0,0
46,arts,unemployed,unemployed,0,1,0
51,business,contractual,health,129293,0,0
51,stem,contractual,law,83651,0,0
87,arts,salaried,accounting,0,1,1
60,business,unemployed,unemployed,0,1,0
78,law,contractual,arts,113822,0,0
63,business,unemployed,unemployed,0,0,0
44,stem,salaried,engineering,86152,0,0
62,arts,contractual,it,113932,1,0
64,stem,contractual,accounting,69073,0,0
60,stem,unemployed,unemployed,0,0,0
89,stem,salaried,arts,45834,1,1
46,business,unemployed,unemployed,0,0,0
46,business,unemployed,unemployed,0,1,0
64,business,contractual,accounting,114382,1,0
43,stem,self business,arts,86193,0,0
63,business,contractual,law,148916,0,0
80,stem,self business,health,120626,1,0
45,arts,unemployed,unemployed,0,1,0
40,arts,self business,transportation,73051,0,0
70,business,unemployed,unemployed,0,1,0
63,arts,salaried,transportation,115032,0,0
48,stem,self business,health,87945,0,0
42,business,self business,health,133736,0,0
71,business,contractual,accounting,132810,0,0
74,stem,self business,transportation,141666,1,1
45,stem,self business,arts,44684,1,0
82,business,self business,arts,73452,1,1
87,arts,contractual,it,130632,1,1
81,business,self business,law,47839,1,1
56,law,self business,engineering,86317,1,0
55,stem,unemployed,unemployed,0,1,0
54,law,self business,engineering,87200,1,0
68,law,self business,transportation,53109,0,0
84,business,self business,it,84871,1,1
64,law,contractual,it,113319,0,0
84,arts,salaried,it,142535,1,1
64,stem,contractual,health,44249,0,0
71,business,salaried,law,102312,1,1
49,stem,salaried,accounting,82921,1,0
59,law,unemployed,unemployed,0,1,0
46,arts,salaried,it,120602,0,0
70,business,unemployed,unemployed,0,0,0
72,arts,unemployed,unemployed,0,1,0
51,law,self business,law,123140,0,0
52,law,salaried,transportation,74604,0,0
76,arts,contractual,it,91124,0,0
50,law,salaried,it,145285,1,0
61,law,contractual,arts,83286,0,0
69,arts,self business,law,94143,0,0
81,arts,salaried,accounting,111252,1,1
59,business,self business,it,81131,0,0
73,arts,unemployed,unemployed,0,1,0
69,arts,unemployed,unemployed,0,0,0
80,law,unemployed,unemployed,0,0,0
61,stem,unemployed,unemployed,0,1,0
42,law,contractual,it,84266,0,0
62,business,salaried,it,60295,1,0
64,law,self business,engineering,149988,1,0
64,arts,self business,transportation,82083,1,0
78,law,salaried,transportation,54780,1,1
78,arts,unemployed,unemployed,0,0,0
65,arts,salaried,transportation,93950,0,0
81,stem,self business,health,80056,1,1
41,stem,unemployed,unemployed,0,0,0
74,law,contractual,it,135825,0,0
79,arts,salaried,health,55048,1,0
45,business,contractual,engineering,42432,1,0
85,law,contractual,law,143601,1,1
44,stem,salaried,transportation,47856,1,0
79,arts,unemployed,unemployed,0,0,0
52,stem,salaried,it,46405,1,0
46,stem,self business,law,129685,0,0
82,arts,contractual,accounting,0,1,1
71,business,unemployed,unemployed,0,1,0
88,arts,self business,accounting,0,1,1
45,stem,contractual,health,42757,1,0
89,law,salaried,law,127668,1,1
74,stem,unemployed,unemployed,0,1,0
59,arts,contractual,engineering,143679,0,0
74,arts,unemployed,unemployed,140326,0,0
75,business,self business,health,121290,0,0
42,business,salaried,it,53589,0,0
69,stem,salaried,arts,118469,0,0
45,business,salaried,engineering,47832,0,0
85,business,self business,engineering,130142,1,1
48,arts,unemployed,unemployed,0,1,0
73,stem,self business,engineering,85710,1,0
89,arts,self business,arts,104260,1,1
79,arts,self business,health,92612,0,0
72,business,unemployed,unemployed,0,1,0
51,stem,salaried,it,140191,0,0
46,stem,self business,health,127121,0,0
89,law,self business,engineering,122865,1,1
60,stem,contractual,transportation,95608,0,0
74,stem,salaried,arts,92420,1,0
84,stem,contractual,transportation,87786,1,1
63,arts,self business,accounting,45788,0,0
53,business,contractual,arts,42692,1,0
83,arts,salaried,it,67210,1,1
88,stem,self business,it,139374,1,1
40,arts,self business,law,81932,1,0
51,business,unemployed,unemployed,0,1,0
88,arts,salaried,health,0,1,1
51,arts,unemployed,unemployed,0,1,0
51,stem,salaried,it,53669,0,0
62,law,self business,health,114845,0,0
62,business,self business,transportation,145831,0,0
50,arts,salaried,health,44757,0,0
83,arts,contractual,it,140634,1,1
70,business,unemployed,unemployed,119269,0,0
84,arts,contractual,arts,131836,1,1
64,stem,contractual,engineering,95470,1,0
89,stem,self business,law,44344,1,1
64,arts,salaried,engineering,69245,0,0
83,stem,contractual,transportation,70385,1,1
86,law,contractual,health,48244,1,1
45,business,unemployed,unemployed,0,0,0
44,arts,self business,it,146487,0,0
68,law,self business,transportation,63266,0,0
70,law,contractual,accounting,92329,0,0
45,arts,contractual,health,80863,1,0
78,business,contractual,law,82475,1,0
73,arts,contractual,health,148208,0,0
43,stem,salaried,it,68168,0,0
58,arts,self business,it,108819,1,0
82,stem,salaried,accounting,78930,1,1
87,stem,salaried,it,0,1,1
48,arts,contractual,law,123781,0,0
70,stem,self business,health,99500,0,0
80,law,self business,law,64813,1,1
68,law,contractual,engineering,74986,1,0
76,stem,salaried,engineering,141861,1,1
68,business,unemployed,unemployed,55682,0,0
43,stem,contractual,health,49394,0,0
57,stem,contractual,law,86596,1,0
42,arts,self business,arts,137385,0,0
63,law,unemployed,unemployed,0,1,0
81,law,salaried,engineering,65027,1,1
57,business,unemployed,unemployed,0,1,0
45,law,unemployed,unemployed,0,1,0
51,law,self business,it,116393,0,0
54,law,salaried,transportation,95595,1,0
42,stem,unemployed,unemployed,0,1,0
56,arts,salaried,transportation,93448,0,0
76,arts,salaried,law,127020,1,0
63,law,unemployed,unemployed,117992,0,0
74,stem,self business,transportation,117859,0,0
50,law,unemployed,unemployed,0,1,0
45,law,unemployed,unemployed,0,1,0
65,stem,salaried,it,89593,0,0
41,law,self business,it,116164,0,0
55,law,contractual,health,95260,1,0
42,stem,unemployed,unemployed,0,0,0
84,arts,contractual,health,128385,1,1
80,stem,salaried,arts,60589,1,1
46,business,unemployed,unemployed,0,1,0
42,law,contractual,engineering,144194,1,0
41,business,contractual,it,84877,1,0
81,stem,self business,transportation,51907,1,1
55,stem,unemployed,unemployed,0,1,0
88,law,salaried,law,0,1,1
66,business,contractual,it,120789,1,0
56,stem,unemployed,unemployed,0,0,0
83,business,contractual,health,144315,1,1
61,law,unemployed,unemployed,0,1,0
74,business,unemployed,unemployed,0,0,0
85,business,self business,transportation,123974,1,1
62,law,unemployed,unemployed,62217,1,0
46,business,unemployed,unemployed,0,1,0
42,arts,self business,it,65488,0,0
48,arts,unemployed,unemployed,0,0,0
82,arts,self business,arts,0,1,1
69,stem,self business,law,52278,0,0
84,stem,salaried,arts,135092,1,1
76,stem,self business,arts,118158,1,1
77,law,self business,health,131168,1,0
56,business,unemployed,unemployed,0,1,0
85,arts,self business,it,111288,1,1
77,stem,self business,health,97032,1,0
66,law,salaried,law,129812,1,0
63,business,unemployed,unemployed,41410,0,0
83,stem,salaried,transportation,61587,1,1
48,stem,unemployed,unemployed,98622,0,0
70,stem,contractual,it,60341,1,1
66,arts,contractual,engineering,87118,1,0
45,arts,unemployed,unemployed,0,1,0
83,law,salaried,health,41521,1,1
48,arts,contractual,accounting,131202,1,0
48,business,self business,accounting,134667,0,0
48,stem,contractual,arts,110925,0,0
48,stem,self business,arts,71380,0,0
60,stem,contractual,arts,86345,0,0
46,law,salaried,engineering,116495,0,0
47,stem,unemployed,unemployed,0,0,0
43,business,unemployed,unemployed,0,1,0
42,law,salaried,accounting,127194,1,0
48,business,salaried,engineering,69134,1,0
62,arts,salaried,arts,87825,1,0
45,arts,contractual,health,108408,0,0
81,arts,self business,it,62676,1,1
89,arts,contractual,engineering,86407,1,1
48,arts,unemployed,unemployed,0,0,0
70,law,salaried,arts,143316,0,0
85,business,salaried,health,142027,1,1
46,arts,self business,transportation,71347,0,0
84,stem,salaried,health,54776,1,1
81,arts,contractual,transportation,0,1,1
65,business,self business,accounting,75449,0,0
61,arts,unemployed,unemployed,0,0,0
80,business,unemployed,unemployed,0,1,0
88,law,contractual,accounting,126924,1,1
84,law,contractual,health,127783,1,1
66,business,contractual,it,53546,1,0
88,stem,salaried,engineering,109330,1,1
53,business,salaried,arts,91181,0,0
75,stem,unemployed,unemployed,0,0,0
43,business,contractual,health,108059,0,0
66,stem,unemployed,unemployed,0,1,0
69,arts,salaried,engineering,65543,1,0
69,stem,salaried,it,50032,0,0
40,law,contractual,law,78076,1,0
46,business,contractual,accounting,118661,1,0
64,arts,unemployed,unemployed,0,0,0
79,stem,salaried,health,41668,1,0
88,arts,contractual,accounting,147237,1,1
86,arts,self business,engineering,122736,1,1
69,arts,salaried,transportation,117826,0,0
51,business,self business,transportation,51834,0,0
48,stem,self business,arts,140961,1,0
67,stem,unemployed,unemployed,0,1,0
72,arts,salaried,transportation,139636,0,0
70,stem,unemployed,unemployed,0,1,0
50,law,self business,it,58803,0,0
51,law,contractual,it,96633,1,0
56,law,self business,engineering,60197,1,0
45,business,salaried,engineering,119618,0,0
61,law,contractual,arts,55271,1,0
56,stem,contractual,transportation,73682,1,0
61,business,unemployed,unemployed,0,1,0
61,stem,unemployed,unemployed,0,0,0
63,business,unemployed,unemployed,0,1,0
49,law,unemployed,unemployed,95003,0,0
88,law,self business,it,0,1,1
65,arts,unemployed,unemployed,107020,0,0
45,business,unemployed,unemployed,0,1,0
88,law,contractual,transportation,115337,1,1
58,arts,salaried,transportation,121919,1,0
59,law,salaried,arts,93009,1,0
88,business,self business,health,119252,1,1
87,business,self business,engineering,0,1,1
53,business,self business,engineering,52069,1,0
69,law,salaried,law,121120,0,0
88,arts,self business,transportation,126326,1,1
44,law,unemployed,unemployed,47274,1,0
59,law,unemployed,unemployed,81721,0,0
78,law,salaried,transportation,135125,0,0
87,arts,salaried,it,0,1,1
67,stem,self business,arts,92748,0,0
46,stem,contractual,accounting,94609,0,0
57,stem,unemployed,unemployed,0,1,0
42,arts,contractual,transportation,128204,0,0
54,stem,salaried,law,59565,1,0
73,arts,salaried,transportation,64881,1,0
72,arts,contractual,it,85717,1,1
66,arts,unemployed,unemployed,0,1,0
69,law,salaried,engineering,67769,1,0
53,arts,contractual,accounting,77796,0,0
57,arts,self business,transportation,90682,0,0
53,law,contractual,it,62272,1,0
84,arts,salaried,arts,142979,1,1
64,arts,contractual,it,102823,1,0
62,stem,salaried,transportation,121722,1,0
53,arts,unemployed,unemployed,0,1,0
40,arts,contractual,health,81851,0,0
89,law,self business,it,0,1,1
85,stem,contractual,transportation,87488,1,1
47,stem,unemployed,unemployed,0,0,0
68,arts,contractual,law,97896,0,0
68,arts,unemployed,unemployed,0,0,0
59,stem,salaried,transportation,116239,1,0
73,stem,salaried,transportation,45398,0,0
68,law,contractual,it,65114,1,0
48,law,unemployed,unemployed,0,1,0
81,law,contractual,law,122071,1,1
75,business,unemployed,unemployed,0,0,0
61,law,self business,accounting,94268,0,0
59,arts,unemployed,unemployed,0,1,0
64,stem,salaried,transportation,66405,1,0
63,arts,salaried,health,98006,0,0
76,arts,salaried,law,132629,0,0
74,business,self business,it,135051,1,0
69,stem,contractual,health,68784,0,0
45,law,salaried,transportation,109347,1,0
45,business,unemployed,unemployed,123407,1,0
66,stem,self business,arts,104490,0,0
52,arts,contractual,it,83665,1,0
63,arts,contractual,engineering,145296,1,0
65,arts,unemployed,unemployed,0,1,0
86,business,self business,arts,51378,1,1
54,stem,unemployed,unemployed,0,0,0
84,business,contractual,it,129713,1,1
79,stem,contractual,transportation,101342,1,0
49,stem,salaried,arts,111477,1,0
44,law,unemployed,unemployed,0,0,0
40,stem,salaried,engineering,112332,0,0
54,law,unemployed,unemployed,0,0,0
87,stem,contractual,it,0,1,1
70,arts,self business,law,97526,0,0
46,business,unemployed,unemployed,43346,0,0
63,business,unemployed,unemployed,0,1,0
60,business,contractual,law,41534,0,0
48,arts,unemployed,unemployed,0,1,0
71,arts,self business,arts,140040,1,1
40,business,unemployed,unemployed,0,1,0
48,stem,unemployed,unemployed,82440,1,0
64,law,unemployed,unemployed,121565,1,0
82,stem,contractual,it,142346,1,1
52,law,unemployed,unemployed,0,1,0
53,law,contractual,law,54833,1,0
69,stem,salaried,arts,89573,1,0
83,business,contractual,engineering,85414,1,1
89,business,contractual,engineering,55725,1,1
86,stem,contractual,arts,60642,1,1
89,business,self business,arts,133411,1,1
69,business,unemployed,unemployed,0,1,0
51,business,self business,transportation,91093,1,0
40,business,self business,health,68136,1,0
62,law,salaried,transportation,116787,0,0
65,law,contractual,engineering,61221,1,0
65,business,unemployed,unemployed,0,0,0
48,business,unemployed,unemployed,0,1,0
58,business,salaried,health,107313,1,0
78,law,contractual,it,145035,0,0
57,stem,salaried,accounting,87195,1,0
82,arts,salaried,it,141491,1,1
77,stem,unemployed,unemployed,0,0,0
73,law,salaried,accounting,103298,0,0
70,business,contractual,arts,106241,0,0
44,arts,contractual,arts,96934,0,0
73,business,contractual,it,0,1,1
61,law,unemployed,unemployed,0,0,0
86,law,contractual,accounting,145020,1,1
74,law,unemployed,unemployed,0,0,0
60,business,unemployed,unemployed,0,0,0
79,business,contractual,law,0,1,1
62,law,salaried,transportation,78605,0,0
73,law,salaried,transportation,74190,0,0
81,business,self business,arts,133590,1,1
57,arts,contractual,arts,52012,0,0
83,stem,contractual,it,88308,1,1
60,law,self business,law,132128,0,0
47,stem,self business,law,135879,1,0
89,law,salaried,engineering,66566,1,1
47,law,salaried,it,130252,1,0
77,stem,salaried,health,105046,1,0
47,arts,salaried,health,132731,1,0
84,stem,contractual,law,146693,1,1
80,stem,self business,law,85822,0,0
53,business,contractual,law,74514,0,0
50,business,self business,arts,137249,0,0
51,stem,unemployed,unemployed,0,0,0
40,law,self business,engineering,66046,0,0
71,stem,self business,health,110768,0,0
63,stem,salaried,it,88087,1,0
46,business,salaried,it,55132,1,0
78,stem,contractual,law,77137,0,0
62,law,contractual,health,91953,1,0
80,arts,unemployed,unemployed,0,0,0
53,arts,unemployed,unemployed,102755,0,0
77,stem,contractual,health,75506,0,0
45,stem,salaried,it,101288,1,0
81,stem,salaried,transportation,0,1,1
82,arts,self business,it,106432,1,1
50,business,contractual,engineering,136213,0,0
80,stem,salaried,health,105147,0,0
72,arts,unemployed,unemployed,49396,0,0
42,stem,unemployed,unemployed,0,0,0
69,law,salaried,health,78881,0,0
64,law,contractual,it,68481,1,0
80,stem,contractual,law,135705,1,0
67,law,contractual,health,43410,0,0
72,law,unemployed,unemployed,0,0,0
66,stem,unemployed,unemployed,0,1,0
79,business,contractual,transportation,111130,1,1
40,business,unemployed,unemployed,69606,0,0
53,arts,unemployed,unemployed,0,0,0
58,arts,salaried,law,131590,1,0
82,stem,contractual,law,119405,1,1
50,arts,contractual,it,55216,0,0
49,arts,unemployed,unemployed,0,0,0
84,business,self business,accounting,66331,1,1
52,arts,unemployed,unemployed,0,0,0
83,business,contractual,accounting,43912,1,1
43,business,salaried,law,60269,1,0
46,stem,unemployed,unemployed,0,1,0
49,stem,self business,arts,62224,0,0
85,stem,contractual,accounting,123495,1,1
50,arts,self business,transportation,61532,0,0
76,stem,self business,transportation,0,1,1
85,law,salaried,law,119949,1,1
49,stem,unemployed,unemployed,0,1,0
62,arts,unemployed,unemployed,55580,0,0
52,business,unemployed,unemployed,104757,1,0
60,arts,self business,arts,140818,0,0
65,arts,salaried,arts,41660,1,0
58,stem,unemployed,unemployed,0,1,0
45,stem,contractual,engineering,69173,0,0
72,law,salaried,law,98729,1,0
75,business,salaried,it,59509,1,1
75,law,unemployed,unemployed,0,1,0
57,arts,unemployed,unemployed,140385,1,0
76,business,unemployed,unemployed,0,1,0
55,business,unemployed,unemployed,0,0,0
59,stem,unemployed,unemployed,0,0,0
42,arts,unemployed,unemployed,0,1,0
85,arts,salaried,accounting,134340,1,1
45,arts,unemployed,unemployed,0,0,0
58,law,self business,accounting,114107,1,0
65,stem,self business,engineering,50081,1,0
49,stem,unemployed,unemployed,56608,1,0
82,arts,salaried,arts,0,1,1
86,arts,salaried,arts,0,1,1
41,business,unemployed,unemployed,0,0,0
86,arts,self business,transportation,0,1,1
82,law,salaried,arts,95324,1,1
63,stem,unemployed,unemployed,0,0,0
46,business,unemployed,unemployed,0,1,0
40,stem,contractual,health,70871,0,0
45,stem,self business,accounting,77940,1,0
68,business,self business,health,124567,0,0
54,law,self business,engineering,110399,1,0
49,business,contractual,arts,47299,0,0
50,arts,salaried,arts,102074,0,0
60,arts,unemployed,unemployed,0,0,0
89,arts,self business,arts,81184,1,1
58,arts,unemployed,unemployed,129566,1,0
55,stem,contractual,arts,109707,1,0
72,business,unemployed,unemployed,0,1,0
54,business,salaried,it,148225,0,0
60,stem,salaried,arts,146427,1,0
72,stem,unemployed,unemployed,0,0,0
63,arts,contractual,transportation,75008,1,0
52,stem,contractual,health,140569,1,0
50,arts,salaried,law,113718,0,0
77,law,self business,arts,0,1,1
86,business,self business,arts,127227,1,1
46,business,self business,engineering,72445,1,0
85,business,self business,law,117912,1,1
59,business,self business,engineering,115130,0,0
81,law,salaried,transportation,127548,1,1
62,business,self business,law,60360,1,0
66,arts,contractual,law,135265,1,0
89,law,contractual,it,130522,1,1
53,arts,self business,law,111801,1,0
66,stem,contractual,health,109778,1,0
70,law,contractual,health,82895,1,0
47,stem,contractual,engineering,77843,1,0
72,law,contractual,transportation,128658,0,0
79,arts,unemployed,unemployed,0,0,0
71,law,self business,accounting,140759,0,0
64,law,self business,health,95886,1,0
41,stem,self business,health,81055,0,0
44,business,contractual,it,122353,1,0
71,business,contractual,arts,81727,0,0
89,business,contractual,health,0,1,1
87,arts,salaried,engineering,101560,1,1
63,business,salaried,transportation,101732,1,0
71,stem,unemployed,unemployed,0,0,0
85,arts,salaried,health,113033,1,1
73,business,unemployed,unemployed,0,0,0
83,arts,self business,engineering,146366,1,1
49,business,unemployed,unemployed,0,0,0
62,stem,unemployed,unemployed,0,0,0
82,law,contractual,it,149470,1,1
82,stem,self business,transportation,116798,1,1
75,arts,contractual,arts,47780,1,1
50,business,unemployed,unemployed,0,1,0
80,law,self business,accounting,139276,1,1
77,stem,unemployed,unemployed,0,0,0
68,arts,self business,accounting,125005,0,0
85,stem,self business,engineering,85054,1,1
54,law,unemployed,unemployed,0,0,0
54,law,unemployed,unemployed,0,1,0
48,law,salaried,law,130797,0,0
83,business,self business,it,0,1,1
85,business,salaried,transportation,116391,1,1
65,stem,contractual,transportation,120384,0,0
87,business,salaried,engineering,85651,1,1
51,arts,unemployed,unemployed,0,0,0
86,law,self business,it,50867,1,1
58,arts,salaried,law,73759,0,0
61,law,salaried,accounting,118507,1,0
78,arts,salaried,it,75711,0,0
87,law,self business,arts,95003,1,1
80,arts,salaried,it,45638,0,0
86,arts,contractual,transportation,114442,1,1
84,stem,self business,health,88109,1,1
83,arts,contractual,accounting,92514,1,1
51,law,salaried,law,108513,0,0
68,law,salaried,arts,92764,1,0
58,stem,salaried,arts,130714,0,0
49,business,contractual,accounting,63191,1,0
84,business,contractual,health,63118,1,1
46,business,contractual,transportation,60486,1,0
68,arts,self business,law,94410,0,0
58,arts,contractual,it,127180,0,0
54,business,self business,accounting,67670,0,0
40,stem,contractual,health,46093,0,0
58,arts,unemployed,unemployed,0,0,0
66,arts,contractual,accounting,135457,1,0
77,stem,self business,it,99171,0,0
45,business,unemployed,unemployed,0,1,0
77,law,contractual,law,115257,1,0
87,law,salaried,it,66494,1,1
88,business,contractual,law,0,1,1
53,stem,unemployed,unemployed,123527,0,0
63,business,unemployed,unemployed,103987,1,0
64,business,unemployed,unemployed,0,0,0
82,business,contractual,health,74384,1,1
42,stem,self business,transportation,89397,1,0
57,arts,contractual,it,103382,0,0
69,stem,contractual,transportation,89515,0,0
69,business,self business,accounting,92955,0,0
43,arts,self business,it,99977,0,0
57,stem,self business,accounting,142715,1,0
79,arts,salaried,health,54785,0,0
71,stem,self business,engineering,48057,0,0
54,stem,unemployed,unemployed,0,1,0
52,arts,unemployed,unemployed,0,0,0
59,arts,self business,engineering,131136,1,0
51,arts,salaried,health,113974,0,0
64,law,contractual,health,68570,0,0
82,arts,self business,health,132148,1,1
52,law,salaried,it,95856,1,0
85,law,contractual,engineering,126146,1,1
87,stem,salaried,accounting,0,1,1
82,business,salaried,law,0,1,1
66,arts,unemployed,unemployed,0,0,0
44,law,unemployed,unemployed,0,1,0
85,law,contractual,it,114844,1,1
64,stem,self business,arts,45422,1,0
85,law,self business,law,118833,1,1
52,arts,unemployed,unemployed,0,1,0
63,law,unemployed,unemployed,0,0,0
80,law,self business,accounting,84257,0,0
60,business,contractual,it,128878,1,0
42,law,unemployed,unemployed,0,0,0
68,law,unemployed,unemployed,0,0,0
59,stem,contractual,health,56278,1,0
42,business,self business,it,137016,1,0
52,law,contractual,arts,43758,1,0
66,law,salaried,law,85247,0,0
50,arts,contractual,law,102690,1,0
60,stem,contractual,transportation,120377,1,0
88,stem,contractual,transportation,72645,1,1
65,stem,self business,it,138239,1,0
64,stem,unemployed,unemployed,0,0,0
78,business,self business,accounting,145049,1,0
72,stem,contractual,law,85990,0,0
76,stem,salaried,accounting,64305,1,0
82,arts,contractual,accounting,70871,1,1
82,business,salaried,transportation,0,1,1
46,arts,salaried,law,88570,0,0
53,business,salaried,transportation,129625,0,0
61,arts,unemployed,unemployed,0,0,0
76,business,unemployed,unemployed,0,0,0
79,business,unemployed,unemployed,144085,0,0
80,arts,salaried,arts,140156,1,1
79,arts,salaried,health,132493,1,0
71,stem,self business,law,52950,1,0
85,stem,salaried,law,112431,1,1
64,stem,salaried,health,101287,0,0
85,law,salaried,health,0,1,1
79,business,unemployed,unemployed,0,1,0
77,stem,contractual,arts,121908,0,0
43,law,unemployed,unemployed,0,1,0
42,stem,unemployed,unemployed,0,0,0
57,law,self business,law,56096,1,0
89,business,self business,engineering,77984,1,1
55,law,self business,law,112908,0,0
64,law,unemployed,unemployed,0,1,0
42,stem,unemployed,unemployed,103960,0,0
53,arts,unemployed,unemployed,0,0,0
61,business,unemployed,unemployed,0,1,0
66,business,self business,it,98621,1,0
88,law,salaried,health,148460,1,1
74,business,unemployed,unemployed,0,1,0
42,stem,salaried,law,57218,1,0
85,law,salaried,it,135506,1,1
56,arts,salaried,transportation,61884,0,0
87,law,salaried,accounting,141206,1,1
53,business,unemployed,unemployed,0,0,0
84,law,salaried,health,0,1,1
77,law,unemployed,unemployed,0,0,0
43,business,unemployed,unemployed,0,1,0
64,business,contractual,arts,122420,1,0
40,arts,unemployed,unemployed,0,1,0
82,business,contractual,health,0,1,1
61,stem,salaried,health,56207,1,0
55,arts,salaried,transportation,40380,0,0
46,arts,contractual,it,138347,0,0
87,stem,salaried,engineering,67638,1,1
71,law,unemployed,unemployed,0,1,0
50,law,self business,law,45462,0,0
81,business,salaried,it,73673,1,1
47,law,salaried,it,99713,0,0
63,business,self business,accounting,113876,0,0
86,arts,salaried,transportation,63152,1,1
54,law,unemployed,unemployed,0,1,0
56,stem,unemployed,unemployed,0,0,0
72,law,unemployed,unemployed,0,0,0
68,stem,unemployed,unemployed,0,0,0
65,arts,contractual,it,53043,1,0
77,stem,contractual,it,144780,1,0
59,law,self business,engineering,55952,0,0
49,law,unemployed,unemployed,0,1,0
89,business,contractual,law,0,1,1
62,law,unemployed,unemployed,86283,1,0
65,arts,unemployed,unemployed,0,1,0
83,arts,salaried,it,119474,1,1
58,law,unemployed,unemployed,64055,1,0
47,business,unemployed,unemployed,0,1,0
48,arts,salaried,it,66457,1,0
87,business,self business,it,83717,1,1
45,business,unemployed,unemployed,0,0,0
87,stem,contractual,law,130190,1,1
69,law,salaried,accounting,75087,0,0
53,law,unemployed,unemployed,0,0,0
72,arts,salaried,arts,68266,0,0
62,business,salaried,law,119627,1,0
56,business,unemployed,unemployed,59416,1,0
49,law,self business,law,108833,1,0
84,arts,salaried,health,55398,1,1
61,law,self business,health,120493,1,0
60,business,unemployed,unemployed,90301,1,0
79,business,contractual,it,110061,0,0
87,law,self business,transportation,82709,1,1
87,business,salaried,accounting,0,1,1
56,law,salaried,law,43806,0,0
78,arts,contractual,engineering,0,1,1
48,business,unemployed,unemployed,0,0,0
49,business,salaried,engineering,59532,1,0
60,business,unemployed,unemployed,138773,1,0
60,arts,self business,arts,42702,0,0
44,law,salaried,accounting,107200,1,0
55,arts,salaried,law,113999,1,0
55,stem,self business,it,144639,1,0
51,business,unemployed,unemployed,92359,1,0
78,stem,unemployed,unemployed,0,0,0
43,arts,contractual,law,133178,1,0
53,stem,self business,law,54163,0,0
75,arts,self business,arts,94984,1,0
40,arts,contractual,engineering,101189,0,0
85,stem,contractual,health,63101,1,1
55,stem,contractual,accounting,58954,0,0
84,business,salaried,health,0,1,1
63,arts,unemployed,unemployed,0,1,0
77,business,contractual,accounting,82445,0,0
45,business,self business,law,58483,1,0
59,arts,contractual,law,124944,0,0
40,stem,self business,it,87530,1,0
69,law,unemployed,unemployed,0,0,0
44,arts,self business,transportation,78985,1,0
68,law,contractual,it,43502,1,0
78,stem,unemployed,unemployed,0,0,0
83,arts,self business,accounting,65215,1,1
65,law,self business,health,69628,0,0
87,stem,salaried,health,118937,1,1
82,stem,contractual,it,0,1,1
57,stem,unemployed,unemployed,0,0,0
56,arts,unemployed,unemployed,0,1,0
72,law,self business,engineering,55762,1,1
74,stem,unemployed,unemployed,0,0,0
54,stem,contractual,it,43312,1,0
78,stem,unemployed,unemployed,0,0,0
82,stem,contractual,law,124116,1,1
61,arts,self business,transportation,65927,1,0
48,business,self business,transportation,95142,0,0
82,arts,self business,health,45822,1,1
68,stem,self business,it,47868,1,0
58,law,salaried,arts,127404,1,0
69,arts,contractual,transportation,113735,0,0
74,business,contractual,health,64374,0,0
42,business,self business,accounting,57266,0,0
50,stem,contractual,arts,89034,1,0
89,law,self business,arts,116134,1,1
89,stem,contractual,transportation,140200,1,1
46,law,unemployed,unemployed,0,1,0
85,stem,salaried,accounting,131550,1,1
51,law,contractual,health,128706,1,0
73,business,self business,arts,78563,0,0
61,arts,contractual,law,59285,0,0
89,law,self business,engineering,82144,1,1
52,stem,contractual,health,133412,0,0
59,stem,contractual,accounting,95652,1,0
64,stem,contractual,law,74163,0,0
82,business,contractual,transportation,0,1,1
44,law,unemployed,unemployed,94331,1,0
80,business,contractual,law,118946,1,0
88,arts,self business,accounting,110353,1,1
55,arts,salaried,engineering,122903,0,0
87,stem,self business,law,0,1,1
83,law,salaried,transportation,0,1,1
54,law,self business,it,119030,1,0
74,law,contractual,arts,52462,0,0
77,law,self business,arts,123196,1,1
45,business,self business,engineering,71686,0,0
56,arts,unemployed,unemployed,0,1,0
48,law,salaried,engineering,45951,0,0
53,arts,unemployed,unemployed,0,0,0
47,stem,self business,it,92872,0,0
59,stem,self business,transportation,107409,0,0
84,arts,self business,transportation,0,1,1
51,law,contractual,it,107965,0,0
42,law,unemployed,unemployed,0,1,0
83,arts,self business,transportation,122713,1,1
52,arts,unemployed,unemployed,0,1,0
48,business,unemployed,unemployed,0,1,0
88,stem,contractual,health,100029,1,1
87,stem,self business,health,66556,1,1
75,arts,self business,it,123640,1,0
60,business,unemployed,unemployed,0,0,0
49,arts,contractual,arts,47079,1,0
80,business,contractual,it,48980,1,0
53,arts,unemployed,unemployed,0,1,0
85,business,contractual,accounting,86196,1,1
79,law,self business,transportation,76427,0,0
77,arts,unemployed,unemployed,0,1,0
86,stem,contractual,accounting,87496,1,1
88,stem,contractual,engineering,125918,1,1
75,business,unemployed,unemployed,0,1,0
40,business,salaried,law,55559,0,0
67,business,self business,health,92320,1,0
61,business,contractual,arts,120487,1,0
86,arts,contractual,it,84470,1,1
